,content
1137,　　近段时间以来，国家体育总局和中国足协针对中超俱乐部高价引援等非理性投入连续发声，限制中超外援、加强年轻球员使用等政策密集出台。在本周举行的足协会员大会上，中国足协又推出了旨在治理、规范联赛的18条新政，其中就包括设立工资、奖金和转会费上限，设立财政公平制度，引入破产机制，落实转会联合补偿机制等规范职业联赛市场秩序的重要内容。
1138,　　商业化更趋成熟的欧洲联赛，其实有很多经验可供中超借鉴。比如英超联赛将电视转播权收入的25%用于完善草根足球的培养，补贴英超以下各职业及业余联赛。中超联赛多年来一直受人诟病的后备人才培养，实质就是缺少投入和资金。如果能在政策层面予以明确和规范，卖出“5年80亿元”版权费的中超联赛，完全可以在青训经费上给予更多倾斜。
1139,　　体育投资人朱晓东在接受《工人日报》记者采访时认为，中超目前依旧存在理念不清晰，球迷文化不健全等问题，“相比足球发达国家的联赛，中超联赛需要找准自身定位，搭建好财务公开公平、青训等核心内容，才能有更长远和健康的发展”。
1140,"　　,相关链接"
1141,　　足球俱乐部财富榜
1142,　　足球俱乐部财富排行榜由德勤会计师事务所主持推出，至今已推出20版。德勤通过一系列财务及非财务指标，比较不同俱乐部的现场观赛人数、世界范围球迷人数、电视转播观赛人数和积分榜。排名的主要依据是评估各足球俱乐部在2015~2016赛季比赛日收入(球票及周边)、电视转播收入(国内及洲际赛事)分成以及商业开发(赞助商、产品销售、球场旅游及其他商业行为)带来的总收入来衡量球队的财富水平。
1143,　　记者 李元浩
1144,　　北京时间昨天，中国女排“前主教练”郎平，在美国芝加哥完成了髋关节置换手术，手术非常成功。如今，郎平手术成功，那么她是否就一定会续约中国女排主教练？
1145,　　在里约奥运会率队夺得金牌之后，郎平的去留问题一直备受关注。排管中心的态度很明确，只要郎平愿意续约，无需竞聘。然而郎平本人对此一直未作表态，如果说在郎平继续执教中国女排的前路上有什么障碍，那她自己的身体状况肯定是其中之一。在央视纪录片中，郎平开玩笑地表示：先把手术做了吧，一瘸一拐的也影响国家形象啊！
1146,　　如今，郎平手术成功，那么她是否就一定会续约中国女排主教练呢？从目前情况看，一切还不好说，更有一种说法，认为郎平可能效仿姚明，成为中国排协领导。
1147,　　国家体育总局自从新局长苟仲文上任之后，展现了新领导班子的新思路，有媒体报道体育总局对中国篮球发展作出10点重要指示，其中最重磅的就是酝酿姚明担任篮协主席。国家体育总局新闻发言人在接受采访时也表示：“那些曾取得过优异运动成绩、在国内外具有较强社会影响力和较高知名度的体育人士，更是现阶段推动体育社团改革发展可以依靠的重要力量和值得进一步挖掘的优质资源。在条件成熟的情况下，吸收他们进入各级体育社团领导机构、担任领导职务，既有可能性、又有必要性。”
1148,　　因此，有人认为，郎平很有可能效仿姚明，担任新一届排协主席。 扬子晚报记者 殷小平
1149,　　3月23日，中国男足就将在12强赛主场对阵韩国，在比赛之前，留给里皮的时间实在不多。1月20日14时，中国足协正式公布了最新一期国足飞行集训大名单，本次集训将于2月9日至12日在广州进行。本次获得征召的27名国脚分别来自中超和中甲的12家俱乐部，广州恒大共有8人入选，在本月初“中国杯”表现出色的高准翼、尹鸿博、池忠国、邓涵文也再次入选国家队，任航也首度进入里皮大名单。值得一提的是，以往的国脚大户江苏苏宁只有吴曦一人入选。 扬子晚报记者 张昊 黄启元
1150,　　新面孔 里皮打造超强中轴线
1151,　　相比首期集训，此次有6名新面孔，分别是杨智、任航、高准翼、池忠国、尹鸿博和邓涵文。主帅里皮意图明显，强化三条线中路人员储备，已是当务之急。
1152,　　“老国门”杨智再次入选不足为奇。至于其余5人，均是中轴线球员。根据中国杯两场比赛的情况，里皮最中意的也是国家队未来最有悬念的位置竞争，便是中锋身后两个前腰。因而这次，里皮将尹鸿博和池忠国，再度选到国家队。但从目前的情况来看，两人想在中韩之战直接踢上主力难度不小。其中前腰位置，即郑智身前的两名中前卫，里皮把信任票投给黄博文和吴曦。在没有伤病的情况下，两人自然是首选。至于蒿俊闵和于海，是标准候补。在中国杯上，里皮又选中尹鸿博和池忠国。在广州的集训，国家队单这两个位置就储备6人，竞争很是激烈。
1153,　　另一个要增补的位置是中后卫。任航入选，主要原因在于他已解决个人训练问题。近期，任航一直在参加华夏幸福的季前冬训。至于小将高准翼，则是凭借在中国杯的出色表现赢得信任。当然，他更是一名可以司职中后卫、右后卫、后腰甚至右前卫的“多面手”。
1154,　　新招入的6名新人，有5人是中轴线球员，这也反映出里皮的思路：即准备中韩、中伊之战，需要重点强化的，就是三条线的中间区域。其中除了郑智的核心地位不变，中卫和前腰位置的板凳深度，及国脚临战状态，也是重点。何况在韩国阵中，像奇诚庸和具滋哲，均是勇猛善战的类型，且国际大赛经验丰富。即便是南泰熙和李在城，也是亚冠赛场上的明星。国家队想要同太极虎硬碰硬，客观来说并不容易。
1155,　　解疑惑 张玉宁、王靖斌凭啥落选
1156,　　这一期国足名单出炉之后，很多球迷提出了三个质疑：一是小将张玉宁为什么落选？二是在中国杯进球的王靖斌为什么落选？三，“关系户”任航为什么又进了国家队？
1157,　　关于张玉宁落选，很多球迷在网上批评里皮老眼昏花，不用张玉宁会后悔等等。其实并非如此，在里皮心目中，张玉宁早已成为铁打的主力，属于免检产品不用考察。此外，只是几天集训，没必要大老远把他从荷兰调回来。关于王靖斌落选，其实也并不意外。他虽然在中国杯大放异彩，但他毕竟连联赛都没踢过一场，资历、经验以及综合能力，都难以服众。
1158,　　球迷最不理解的其实还是任航的再次入选。球迷都戏称任航是“关系户”，连里皮都不敢不招他。任航的回归最主要的原因是里皮为了增强后防线实力。对阵卡塔尔前，张呈栋和梅方在训练中负伤(梅方后在比赛当天复出)，一度令防线用人捉襟见肘。任航不仅可以司职中卫，还能担任左后卫，属于后卫线的“多面手”。排兵布阵时，可以极大限度地丰富里皮的选择余地。不至于再有国脚战前受伤，令球队显得过于被动。
1159,　　提质疑 里皮厚“恒”薄“苏”？
1160,　　这份国家队名单，有一个地方让很多人看不懂，那就是苏宁入选国家队的人数，仅仅吴曦一个独苗。作为同样站在去年足协杯决赛上的两支队伍(而且总比分打成3：3)，恒大有8人入选本次国家队，苏宁却只有1名，这似乎既不合理也不合情。
1161,　　鼎盛时期，江苏曾经有过同时6名球员入选国家队的骄人记录。2014年6月10日，佩兰时代的国家队中，江苏有6名球员入选，他们分别是刘建业、孙可、吴曦、周云、李昂和任航。即使后来因为历史遗留问题，孙可和任航相继以半自由身状态离开江苏，但苏宁的吉翔以及张晓彬等球员的状态依旧火热，完全达到了国家队水准。
1162,　　其实从里皮带队的上一份中国男足国家集训队名单就可以看出，苏宁的球员未来想在国家队立足，是极其困难的。在大肆召集年轻球员进入国家队去征战中国杯的时候，我们看到了很多完全不熟悉的球员，有的甚至连职业联赛经验都没有，但苏宁涌现出有国家队潜质的球员却并未获得展示自己水平的机会。例如国家队边缘球员张晓彬，例如曾经在国奥队受伤后无人问津却极有天赋的陶源，例如2016赛季中超最优秀的边路球员吉翔。
1163,　　退一步看，即使苏宁的球员能力尚不能达到现阶段国家队的要求，但国足目前烂透的后防线，还敢把李昂这名谁都叫好的气质球员拒之门外，这是一种符合正常逻辑的选择吗？
1164,　　当然，作为苏宁球员，大可不必因为这份名单而气馁，而是要相信自己，并且努力在中超以及亚冠赛场上有更好的表现，用事实向这份名单做出回击。
1165,　　新华社墨尔本1月17日电(记者刘宁)2017年澳大利亚网球公开赛17日结束首轮争夺，当日出场的四名中国队女单选手全部失利，无缘第二轮。男单方面打出一场“纪录之战”：一人75个ACE球和22：20的单盘比分都是惊人的澳网新纪录。
1166,　　今年澳网共有7名中国队女单选手获得正赛参赛资格。两天比赛，中国金花们的整体表现犹如过山车，16日出战的段莹莹、张帅和彭帅全部胜出晋级第二轮，17日出场的韩馨蕴、朱琳、郑赛赛和王蔷则全部落败止步首轮。
1167,　　韩馨蕴当天以1：6和5：7不敌美国选手法尔科尼，第一个出局。现世界女单排名第111位的中国姑娘因多名球员退赛而直接拿到正赛入场券。这是韩馨蕴第三次出战澳网正赛，2016年她曾杀入第二轮。
1168,　　韩馨蕴赛后说：“刚上来有些蒙，可能是因为紧张吧。我不是属于那种一上来就打得很好的球员，我可能是那种慢热的，但是我准备活动和赛前活动准备也很充分，所以主要我在之前的热身赛没有打太多，手还是有点生，显得整个人在场上的节奏都不在比赛状态。”
1169,　　同样第三次出战澳网正赛的郑赛赛也未能获胜，她以0：6和4：6不敌黑山姑娘科维尼奇。
1170,　　从资格赛一路杀来的朱琳以一场失利结束澳网正赛首秀。这位现世界排名第126位的中国小将在首盘3：1领先的大好局面下未能把握机会，以4：6和0：6败给拉脱维亚选手奥斯塔彭科。
1171,　　当天最后出场的王蔷苦战近两个小时，在拿下首盘的大好形势下被对手逆转，以6：4、3：6和4：6不敌克罗地亚老将卢西奇。
1172,　　在一场女单焦点战中，赛事二号种子小威廉姆斯直落两盘，以6：4和6：3淘汰瑞士小将本西奇。小威在第二轮将迎接捷克名将萨法洛娃的挑战，后者以2：1的大比分拿下比利时选手维克梅耶尔。
1173,　　五号种子、捷克选手普利斯科娃以6：2和6：0轻松战胜西班牙老将托尔莫，英国姑娘孔塔以7：5和6：2完胜比利时选手菲利普肯斯。
1174,　　男单赛场上，中国队没有选手获得正赛资格。卫冕冠军、塞尔维亚名将焦科维奇直落三盘，以6：1、7：6(4)和6：2淘汰西班牙老将沃达斯科，三号种子、加拿大选手拉奥尼奇以6：3、6：4和6：2横扫德国选手布朗。
1175,　　九号种子纳达尔以6：3、6：4和6：4轻取德国名将梅耶尔。八号种子奥地利选手蒂姆、德国选手兹维列夫、25号种子法国选手西蒙等人也纷纷晋级。
1176,　　当天有一场男单比赛创了两项纪录，37岁的克罗地亚老将卡洛维奇在与阿根廷选手泽巴罗斯的对决中轰出75个ACE球，创造了澳网单场比赛一名球员的ACE数量之最。两人鏖战5个多小时，最后一盘打到22：20，创出澳网新的单盘比分纪录，才以卡洛维奇大比分3：2胜出而终结。五盘的比分是6：7(6)、3：6、7：5、6：2和22：20。
1177,"　　,中新网,大庆1月21日电 (记者 杨拓)21日晚，随着裁判员的一声哨响，2016-2017年赛季WCBA全明星赛在中国油城大庆揭开战幕。美国女篮主力福尔斯、“中国女科比”纪妍妍以及中国女篮第一美女赵爽等WCBA顶级球星齐聚中国北疆，为中国球迷献上精彩比赛。"
1178,　　作为中国最有影响力的女子篮球职业联赛，WCBA创建于2002年。经过近20年的发展，WCBA不仅见证了中国女子体育职业化的发展，同时也提高了中国竞技体育的水平。
1179,　　近几年，随着WNBA状元秀玛雅·摩尔和美国国家队主力福尔斯等高水平国际外援的加盟，WCBA已经成为备受国际关注的体育赛事。WCBA不仅是中国女子篮球运动员心目中的最高殿堂，同时，日本、韩国等其他亚洲国家的高水平女篮运动员也都参与其中，WCBA正在扩大其在国际上影响力。
1180,　　作为WCBA的精华，全明星赛自然也就成为球迷关注的焦点。在本次全明星赛中，北区明星队在“中国女科比”纪妍妍的带领下，最终以116:110获胜，纪妍妍以31分的全场最高分收获本届全明星赛的MVP。(完)
1181,　　广州日报墨尔本1月17日电 　毫无疑问，在当今世界网坛“90后”横冲直撞的时刻，“70后”早已是“稀有物种”，但出生于1979年、身高2.11米的克罗地亚“大炮”卡洛维奇，世界排名仍然保持在前20位，而且随时可能成为“巨星杀手”，你敢小看他，马上用“大炮”把你轰倒。
1182,　　这是卡洛维奇第14次参加澳网，之前的最好成绩是2010年打进第4轮，这算不上什么骄人的战绩，但这次，老卡又将一项神迹写在自己名下。
1183,　　在澳网男单首轮比赛中，下月年满38岁的卡洛维奇在先丢2盘的情况下，凭借惊人的ACE球神功，力挽狂澜连扳3盘，鏖战5盘击败了阿根廷人泽巴诺斯，全场耗时长达5小时14分钟。他一共轰出75记ACE球，创造了澳网单场ACE球新纪录，决胜盘22比20也创造了澳网长盘新纪录。
1184,　　喜欢看卡洛维奇打球的人，肯定看到笑；而不喜欢的人，则看到想睡觉——这简直是两场男单比赛的时长。
1185,　　卡洛维奇的75记ACE球，打破了由瑞典名将约翰松在2005年澳网第4轮创造的51记ACE球纪录。决胜盘22比20的比分则刷新了2003年澳网1/4决赛罗迪克VS艾诺伊21比19的长盘纪录。
1186,　　值得一提的是，卡洛维奇在2009年法网与休伊特的比赛中轰出了55记ACE球，2009年戴维斯杯和捷克名将斯泰潘内克的比赛中轰出了78记ACE球，这些都创造了赛会纪录。
1187,　　谁知道卡洛维奇在职业生涯结束前还会将多少纪录收入名下？
1188,"　　,中新网,阜康1月21日电 (记者 戚亚平)1月21日，为期三天的2017年全国青少年“未来之星”冬季阳光体育大会新疆分会场活动，在新疆阜康市境内的天山天池国际滑雪场拉开序幕。"
1189,　　据悉，此次活动有来自新疆13个地州市的365名各族青少年参加，大会共设置速度滑冰、雪地足球、定向越野三个比赛项目，以及滑雪体验、纸飞机大赛、滑雪圈、滑爬犁四个体验展示项目。活动还特别邀请到2004年雅典奥运会网球金牌获得者孙甜甜及全国花毽冠军邓丹现场助阵。
1190,　　全国青少年“未来之星”冬季阳光体育大会是中国目前最高规格的青少年冬季大型综合类体育活动，是积极推动“3亿人参与冰雪运动”和助力冬奥会系列活动的重要内容。该活动是集青少年体育竞赛、冰雪运动乐园、冬季奥林匹克文化交流、青少年爱国主义教育四大内容于一体的大型青少年体育活动，迄今已是第三届。
1191,　　介绍称，2017年全国青少年“未来之星”冬季阳光体育大会预计将有来自全国31个省(区、市)、新疆生产建设兵团和香港、澳门的代表队参加。本届冬季阳光体育大会继续扩大赛会的覆盖面，实现多方联动，除了设立牡丹江镜泊湖主会场，还设立了北京、河北、内蒙古、辽宁、吉林、新疆6个省(区、市)级分会场，主会场活动将于2月4日至9日举行。(完)
1192,"　　,中新网,1月18日电 17日，北京体育文化产业集团正式与北京约顿气膜建筑技术股份有限公司签订股票发行认购协议，拥有了该公司50%以上的股权。自此，北京体育文化产业集团正式将气膜场馆制造纳入到了自有业态体系之中，完善“建设+运营”产业链条的同时，也彰显着北京体育文化产业集团服务民生、发展体育事业、打造健康全民健身场馆标杆的信心与力量。"
1193,　　据介绍，北京体育文化产业集团致力于以“新型体育公园”为产品，通过基础场馆的建设运营发力全民参与性体育产业，近年来取得了突出成就。坚持“健康、安全、环保”的建设理念，集团选择具有节能环保、安全稳定、智能低耗等优点的气膜场馆作为体育公园项目的建筑主体，并在项目建设中与北京约顿气膜建筑技术股份有限公司保持着长期的友好合作。集团领导表示：“气膜体育场馆为大众健身提供了成功解决方案、最佳产品以及优质服务，我们希望利用这一新型技术，更好地服务民生，为‘全民健身休闲事业’提供安全优质高效的服务设施，期待我们的体育公园项目，会成为健康体育产业的建设标杆。”
1194,　　据了解，北京约顿气膜作为中国气膜行业国家级高新技术企业，拥有完全自主的知识产权，数十项气膜建筑技术专利，公司拥有设计、施工及售后服务团队。自2006年第一个气膜开始，一直处于我国气膜建筑市场的领军地位。据2016年4月国家体育总局中国体育用品联合会发布的《中国气膜行业白皮书》显示，约顿气膜拥有44%的市场占有率，成为气膜行业的领头羊，引领者气膜行业的发展。2014年约顿气膜荣膺世界自然基金会(WWF)“中国气候创行者”殊荣，同年，约顿气膜成功挂牌新三板。
1195,　　从体育产业发展的高度来看，北京体育文化产业集团与约顿气膜的联手也标志着“场馆建设”与“场馆运营”两大产业模块的升级重组。一直以来，我国公共体育设施一直面临着“三少”的问题——体育场地设施总量少、群众性体育场馆数量少、体育场地开发和利用少，大量建设完成的体育场馆因运营成本过高、缺乏专业团队等问题陷入长期闲置，无法真正意义上的满足人民群众日益增长的运动健身需求。此次签约，标志着两大上市公司合作的进一步加深，而“健康、安全、环保”的理念也将深深融入体育公园项目的灵魂之中。
1196,　　正因如此，北京体育文化产业集团一直坚持将场馆建设与后期运营进行捆绑，建立了完善的公共体育服务经营模式。北京体育文化产业集团自身拥有着体育场馆、商业配套、体育培训、传媒娱乐等丰富的运营业务模块，此次与约顿气膜的联合，也将“建设+运营”的业务模式推进到了前所未有的战略高度，约顿气膜拥有气膜建筑核心技术发明专利及多项发明专利。不断升级优化约顿气膜建筑系统，打造全天候健康体育馆。
1197,"　　原标题：勇士大胜骑士35分 ,格林、詹姆斯添新恨"
1198,　　本报讯(记者 刘艾林)昨天，NBA常规赛上演焦点大战。上赛季争夺总冠军的两支球队，也是目前东、西部分列第一的骑士与勇士在后者主场甲骨文球馆狭路相逢，结果勇士出人意料地以126比91大胜骑士，结束了对对手尴尬的四连败。
1199,　　上赛季总决赛，勇士在大比分3比1领先的绝好形势下被骑士连扳三场，丢掉了总冠军，本赛季两队的第一次碰面恰逢圣诞大战，勇士客场再败。而在去年总决赛第四场比赛中发生的一幕也是令球迷难以忘怀，当时格林和詹姆斯发生了激烈的身体冲突，最终格林停赛，导致勇士失去防守悍将而输掉了总决赛。昨天的比赛又发生了同样的故事，格林再次偷袭詹姆斯，在第二节比赛后者一次持球进攻时格林从侧面猛烈撞击詹姆斯，“詹皇”长时间倒地不起，并且一直摸着自己被格林肩膀撞疼的下巴，非常痛苦。经过观看回放之后，裁判做出了判罚：格林被吹一次一级恶意犯规，同时，他还和与之论理的骑士队球员杰弗森各吃到一次技术犯规。这当然只是比赛中的一段插曲，而骑士队的惨败确实是只能怪到自己身上。詹姆斯打出了糟糕一战，全场18投5中外带罚球仅得到20分，大失水准，球队惨败实属正常。反观勇士，三巨头汤普森、库里和杜兰特联手奉献67分，格林也拿到了“三双”，勇士以35分优势狂胜骑士，完美复仇。
1200,　　今天，澳网公开赛展开单打第3轮的争夺，罗德·拉沃尔中心球场，第一场比赛是布沙尔VS范德维格，两位90后，且都是非种子选手，怎么就被排进了中心球场呢？君不见，男单世界第一穆雷，还要进第三大场海信球场比赛，这简直就是对新科世界一哥的不尊重。无他，谁让布沙尔颜值高、人气旺呢？本届澳网公开赛，由于莎拉波娃被禁赛，伊万诺维奇早早退役，科维托娃遇袭受伤缺席，阿扎伦卡刚当妈，整体颜值下降不止一个档次。加上A·拉德万斯卡止步女单第二轮，女子网坛的颜值担当美女联盟彻底瓦解。如今，加拿大美女也输了，还能看谁呢？
1201,　　特派记者 孙嘉晖 广州日报墨尔本1月20日电
1202,　　颜值影响实力？
1203,　　出生于1994年的布沙尔，出道以来圈走众多粉丝，球好人靓，其他人徒叹奈何。不过，美丽也是把“双刃剑”，她们在世界排名迅速蹿升至第5位后，凭借高颜值，一度达到了与莎拉波娃平起平坐的地位，她比其他球员更容易在赛场外挣钱。
1204,　　实际上，少年成名更让布沙尔快速步入迷茫期，类似的情况辛吉斯、莎拉波娃也曾遭遇过。在经历一段时间的状态低迷后，布沙尔本赛季志在卷土重来，师从李娜和莎拉波娃的前教练托马斯，希望在竞技成绩方面有所突破，进而提升商业价值。
1205,　　上一轮，布沙尔2比0轻取彭帅，杀进澳网32强，与大自己3岁的美国姑娘范德维格争夺一个16强席位。
1206,　　不曾想，对手是一个狠角色，布沙尔苦战3盘以4比6、6比3和5比7落败，又一位美女陨落，令球迷懊恼。
1207,　　实际上，现场球迷的倾向性还是相当明显的，即便布沙尔世界排名已经跌出40位开外，依旧“撑你没商量”。
1208,　　作为服装赞助商旗下的重要球星，布沙尔已经有了自己的定制款，本届澳网就穿了一身蕾丝透视上衣，为了突出性感，设计师特意制作了这件短帮露脐装，每次发球、救球，都会春光乍泄，引来球迷的尖叫。
1209,　　作为当今女子网坛炙手可热的女球员，布沙尔备受球迷的追捧，当然也是赞助商紧追不放的宠儿。
1210,　　“来澳大利亚前，我练了一个月，这可是第一次，练的效果真不错，我第一次有了重大突破。”布沙尔认真地说，她一连用了好几个“第一次”，看来像这样扎实的冬训，她还是第一次遇到，毕竟商业活动太多，已经侵占了她太多的空间和时间。
1211,　　说起颜值对竞争力的影响，最应该提及的就是已经淡出世界女子网坛的库尔尼科娃，这位网坛美女甚至没有拿过一项WTA巡回赛女单冠军，但却屡屡成为《体育画报》等泳装秀的主角，这也让她罕见地成为“不以成绩论英雄”的赚钱机器。
1212,　　而前不久刚宣布退役的伊万诺维奇，同样是靠美貌与身材赢得了赞助商的青睐，在2008年拿到法网冠军并登顶世界第一后，就再也没有什么拿得出手的战绩。早早嫁给德国足球明星小猪施魏因施泰格，结束了职业生涯。
1213,　　自古天妒红颜？
1214,　　在世界女子网坛，能像莎拉波娃一样红透十年、集实力与偶像于一身的美女球星，真是凤毛麟角。难道正应了那句老话“天妒红颜”？
1215,　　大概如此，像上述提到的4位美女，都是在当打之年，要么为家庭拖累，要么嫌苦怕累，总归是红颜伤不起。
1216,　　A·拉德万斯卡被誉为集美丽与智慧于一身的女神级球星，但本届澳网，贵为3号种子的波兰美女第二轮就爆冷以0比2不敌克罗地亚老将卢西奇，就此止步。
1217,　　在一众美女意外无缘澳网和出局后，还有哪些美女值得期待呢？前世界第一、丹麦甜心沃兹尼亚奇，仍然在签表当中，17号种子顺利通过第三轮考验，跻身16强。
1218,　　实际上，经历了几年的沉寂后，沃兹尼亚奇越发注重状态的调整和身体健康了，“现在有一位全职理疗师陪着我，这对我很有帮助。每天我都会接受理疗，保证身体处于最佳状态，也有助于我恢复。确保身体健康，这是我的主要目标。这样我赢得比赛的几率是最大的。”
1219,　　竞技体育不是选美大赛，在高强度的训练过程中，美丽与实力很难兼顾。而很多观众眼中的美女，往往是面容姣好、身形优美的清秀女子，在激烈的竞争中，她们受伤或者其他原因被淘汰的几率非常高。也正因为此，说“天妒红颜”也是有道理的。
1220,"　,　“独苗”段莹莹惨遭大威血洗"
1221,　　中国女单全军覆没
1222,　　特派记者 孙嘉晖
1223,　　广州日报墨尔本1月20日电
1224,　　面对年长自己9岁的大威廉姆斯，段莹莹没有打出预想中的霸气和进攻，全场比赛受制于对手，最终仅抵抗了59分钟，就以1比6和0比6败北。至此，中国女网7名正赛女单选手全部出局，段莹莹跻身第三轮已经是职业生涯大满贯最佳战绩。
1225,　　虽然出生于1980年的大威即将年满37岁，但她在这场比赛中完全没有显示出老态。全场比赛，大威3记ACE球、25个制胜分、6次上网打成5次，12个破发点兑现5次，完全控盘。
1226,　　反观段莹莹，移动缓慢的顽疾暴露无遗，回球毫无精准度，节奏紊乱，最终输掉比赛，她本人也认为“不冤枉”。“教练之前告诉我，回球的直线，要打在她前面，我尝试了几次，完全不行，这场比赛输的不可惜，”段莹莹止步第三轮，已是职业生涯大满贯最好成绩，她将收获130个积分和13万澳元(约合人民币67万元)，“回去还要弥补回球节奏、落点的不足，发球的准确性也需要提高。”
1227,　　大威赛后给予了段莹莹褒奖，认为她“很有天分”。不过，段莹莹说，这场比赛失误很多，没有发挥出自己的真实水平，“我的发球对她没有威胁，她的接发球和抢攻的确很好，我的失误就增多。”
1228,　　这样，中国女网在本届澳网的女单比赛全部结束，张帅/斯托瑟今天止步女双第二轮，彭帅和郑赛赛的组合分别击败对手晋级。
1229,　　在其他场次比赛中，世界第一科贝尔、穆雷，以及费德勒、瓦林卡、锦织圭均悉数晋级。
1230,"　,　澳网昨天战报"
1231,　　男单第3轮
1232,　　(1)穆雷 3∶0 (31)奎雷伊
1233,　　(4) 瓦林卡 3∶1 (29)特洛伊基
1234,　　(5) 锦织圭 3∶0 拉科
1235,　　(17)费德勒 3∶0 (10)伯蒂奇
1236,　　女单第3轮
1237,　　(1)科贝尔 2∶0 普利斯科娃
1238,　　(7)穆古拉扎 2∶0 (32)塞瓦斯托娃
1239,　　布沙尔 1∶2 范德维格
1240,　　段莹莹 0∶2 (13)大威
1241,　　澳网今天对阵
1242,　　男单第3轮
1243,　　伊斯托明 VS (30)布斯塔
1244,　　(3)拉奥尼奇 VS (25)西蒙
1245,　　(6)孟菲尔斯 VS (32)科赫尔斯奇雷伯
1246,　　(8)蒂姆 VS 派瑞
1247,　　(9)纳达尔 VS (24)A·兹维列夫
1248,　　(15)迪米特洛夫 VS (18)加斯奎特
1249,　　女单第3轮
1250,　　(2)小威 VS 吉布斯
1251,　　(5)普利斯科娃 VS 奥斯塔彭科
1252,　　(6)齐布尔科娃 VS (30)马卡洛娃
1253,　　(9)孔塔 VS (17)沃兹尼亚奇
1254,　　(12)巴辛斯基 VS (22)加夫里洛娃
1255,　　足协改变外援规则 澳大利亚运动员在华淘金变难
1256,　　责任编辑：王天僚
1257,　　核心提示：之前中国足球俱乐部想要澳大利亚球员是因为一支队伍被允许签下一名来自亚足联成员国的球员，再加上四名来自世界其他地方的球员。现在中国足球俱乐部可以签下五个任意国籍的球员。
1258,　　参考消息网1月18日报道 澳媒称，中超联赛改变了外援人数体系后，澳大利亚运动员将发现到中超淘金更加困难了。
1259,　　据澳大利亚联合新闻社网站1月17日报道，“4+1”规定取消，中国球队现在可以签下五个任意国籍的球员。
1260,　　不过，根据中国足协16日措辞模糊的声明，按照新规定，赛场上同时最多只能有三名外国球员上场。
1261,　　此事对澳大利亚球员的影响重大。
1262,　　报道称，之前中国足球俱乐部想要澳大利亚球员是因为一支队伍被允许签下一名来自亚足联成员国的球员，再加上四名来自世界其他地方的球员。
1263,　　举例来说，这个条款取消后，中国球队就没有先签一名澳大利亚球员再签欧洲或南美球员的真正动机了。
1264,　　对于通过“4+1”规定转会至中超联赛的特伦特·塞恩斯伯里、阿波·詹努、马修·斯皮拉诺维奇和瑞安·麦高恩来说，这是坏消息。
1265,　　也不清楚这会对詹姆斯·霍兰和罗比·克鲁泽意味着什么，他们此前飞到中国完成协议，如果协议达成的话，将于本周取代辽宁宏运队的同胞迈克尔·斯韦特和达里奥·维多西奇。
1266,　　霍兰目前的东家阿德莱德联队说，他们希望知道他的转会能否在18日前完成。
1267,　　中国足协还表示会采取措施遏制转会市场上“非理性”的开支。
1268,　　中国足球俱乐部通过向切尔西前中场奥斯卡那样的球员提出巨额出价“扰乱”了全球转会市场，奥斯卡上个月以6000万欧元(约4.4亿元人民币——本网注)与上海上港队签约，这是过去两年来亚洲转会记录第八次被打破。
1269,　　报道称，这些改变是为了帮助“中国足球发展，并培训本土球员”，是在中国转会窗口期中间宣布的，扰乱了各俱乐部吸收球员的计划。(编译/魏晓慧)
1270,　　翟晓川被停赛3场
1271,　　林志杰仅被通报批评
1272,　　本报讯(记者 宋翔)中国篮协昨日召开媒体通气会，公布了对于此前北京队与浙江广厦队比赛中，翟晓川与林志杰之间冲突的罚单：翟晓川在被对方侵犯后，有挥拳动作，被停赛三场；林志杰被通报批评，并未停赛。北京队被罚款五万元。联赛办公室相关负责人称，如果林志杰的小动作导致翟晓川受伤的话，那么前者将被追加处罚。而北京队已经带翟晓川到医院去进行检查。
1273,　　中国篮协昨日表示，经过裁判监评委员会的认定，林志杰有较为隐蔽性的小动作(夹胳膊)以及临场裁判员没有及时管理和宣判是引发此次冲突的诱因之一。而翟晓川在遭到侵犯后，不冷静地采用挥拳动作实施报复，特别是在裁判员鸣哨后，翟晓川继续挥拳击打对手的动作，极易引发人身伤害事故和赛场的群体性事件，给联赛造成不良影响。因此，两人被给予不同程度的处罚。另外，本场比赛的裁判执法质量不高，也被中国篮协予以内部停赛。
1274,　　中国篮协同时强调称，部分CBA球员在球场上出现的越来越多的小动作、坏动作已经引起了中国篮协的重视，如果场上球员的小动作、坏动作等行为给对方球员造成了伤害，在经过权威医疗机构认定后，中国篮协也将按章予以追加处罚。
1275,　　另外在该场比赛中浙江广厦队主场观众也出现了辱骂北京队球员的现象。就在不久前，中国篮协明确表示会加大力度整治赛场不文明现象，对于浙江广厦队主场出现的情况，联赛办相关负责人表示，目前还在调查中。
1276,"　　原标题：国安新帅何塞畅谈执教思路——,“第五外援 决不放弃”"
1277,　　何塞笑对压力，也许能够更深地感染队员
1278,　　中超·对话
1279,　　距离何塞接手国安，已经过去了半个月的时间。虽然作为曼萨诺曾经的助教，何塞对于中超和国安都不陌生，但是现实却是不管是中超还是国安，都已经发生了太多的变化，这些都让何塞的新工作充满了挑战。西班牙人很低调、很务实，“接受现实，一路向前”是他对于未来的态度，听上去有些随遇而安，但是也可以看作另外一种人生智慧。
1280,"　　,几位老将离开对球队影响大"
