,content
1746,　　作为车联网重要战略举措，这一全新升级服务将用户首要关注的车辆安全、紧急救援等车联保障服务覆盖到新车的黄金使用期，力度之大在行业内尚属首例，为整车企业车联服务树立了新的标杆，展现了上汽通用汽车加速推进车联网战略的坚定决心。
1747,　　根据上汽通用汽车此次发布的安吉星新用户尊享礼遇，从原免费1年延长至免费5年的基础服务包括：车况检测报告、经销商维保提醒、碰撞自动求助以及车辆远程定位、车辆数据远程刷新、车辆远程控制等手机应用服务。
1748,　　在5年免费基础服务包之外，上汽通用汽车还将为新用户在第一年免费提供多项安吉星高口碑增值服务，包括：全程音控领航、目的地设置协助、超级管家、全音控免提电话、电子围栏等高端手机应用和被盗车辆启动限制等智能安防类服务，以及3个月3GB的免费4G LTE车载移动WIFI流量。在使用期结束后，安吉星用户可根据自身需求付费使用以上增值服务。
1749,　　继2015年10月率先推出车载安吉星4G LTE服务，上汽通用汽车大力推动4G LTE高速移动热点在三大品牌车型中的普及，以及对安吉星核心业务版块进行全面升级。在2016年内，重磅推出涉及手机应用APP、安全安防、车队智能管理、车联网大数据和企业服务平台等五大全新服务。
1750,　　今年伊始，上汽通用汽车重拳发力超长礼遇及尊享服务，将加速安吉星车载互联通讯系统普及应用，为企业车联网战略发力提供更加扎实的基础保障。由此，也将进一步巩固公司在行业车联网发展中的引领地位。
1751,　　以2007年创新引入安吉星车载信息服务系统为标志，上汽通用汽车在国内汽车行业中率先展开车联网的探索实践。经过多年快速发展和服务不断升级，安吉星赢得上汽通用汽车产品用户的广泛好评。
1752,　　截至去年10月份，安吉星在国内已累计提供目的地设置协助1亿多次、远程车门应急开启750多万次、紧急救援服务430多万次、被盗车辆定位2000多辆……目前，安吉星国内活跃用户近百万名，用户量和服务频次皆为国内第一，为上汽通用汽车车联网战略发展奠定了技术与平台基础。
1753,　　未来几年，上汽通用汽车将持续提升安吉星的服务能力，2017年在新产品上陆续推出企业车联云平台和云服务，并通过全球与本地化产品的共同推进，继续扎实推进企业车联网战略的不断升级，以领先的车载互联通讯、车载互联娱乐及智能驾驶技术，为用户提供更安全、更可靠、更全面的车联服务。
1754,"　　,中新网,1月4日电 美国西部时间1月3日，国际消费电子展(CES)前夕，来自美国加州的创新企业Faraday Future(简称FF)在拉斯维加斯正式发布了其首款量产车型——FF 91。"
1755,　　FF 91是全球首款互联网生态电动车，将全球最强的动力性能、无缝互联、安全智能等特点集于一身。
1756,　　发布会上，FF研发与工程高级副总裁Nick Sampson、动力系统副总裁Peter Savagian、设计副总裁Richard Kim 、ADAS及自动驾驶总监HONG BAE等高管和技术专家从不同角度对“新物种”的理念进行了阐释。“我们把所有的创意和梦想都注入了FF 91，它的每一个方面都有很多故事，我们会在整个2017年为大家分别讲述。” Nick Sampson，介绍说，此次重点发布其动力性能、互联互通、人工智能、和设计等方面。
1757,　　FF 91以最跨界的车型，创造了量产电动车的加速度新纪录和一流的电动车续航里程记录。本次发布会上，FF 91与宾利Bentayga、法拉利488GTB、特斯拉Model X和特斯拉Model S这些目前世界上加速性能最强的车型进行了现场竞速。结果显示，0-60英里/小时(96公里/小时)加速时间仅为2.39秒，超越所有传统汽车及电动车对手，成为全球加速最快的量产车。
1758,　　FF 91电池一次充电续航里程超过700公里(按欧州NEDC标准)，为同级别车辆里最佳，媲美甚至超过大多数传统内燃机车在满箱油情况下的行驶里程。同时具备最快的充电速度，通过高功率直流充电系统，充电一小时便可实现500英里续航里程。
1759,　　如果说动力性能的超越是作为一款电动车的基本骄傲，那么FF 91在人工智能和互联功能上的创新则使其彻底变成了一个“新物种”，打造出全新的体验和出行场景。
1760,　　FF 91能够持续感知用户习惯、自我学习进化；配备高级驾驶辅助系统，并为未来的高阶自动驾驶做好了准备；FF 91还具备无人代客泊车、面部识别等最先进的智能功能。FF自动驾驶负责人Hong Bae现场演示了无人自动泊车功能，无人驾驶状态的FF 91工程车在复杂的停车场环境中自动找到车位并成功泊车，这也是该项功能首次在量产车型上得以实现。
1761,"　　基于极速互联网和云平台，FF 91使用户可以尽情享受互联网的便利和乐趣——导航、娱乐、社交、购物、办公以及在线更新，并能多屏实时互联。而且所有功能都可以通过语音或触摸屏，以最优化最安全的方式来控制，用户无需使用自己的手机。而通过移动端的FF应用APP，用户能够远程控制FF 91,实现无缝连接。"
1762,"　　FF采用全新的设计理念，FF 91拥有5,250 x 2,283 x 1,598 mm的长宽高尺寸，轴距更是达到了惊人的3,200mm内部空间非常宽大舒适。外观方面，FF 91拥有 流线型车身线条和凌厉造型，围绕车身中部的“UFO线”，独创的横贯车头车尾的矩阵式LED大灯和交互式阵列光显系统能够与外界环境智能交互，重新定义了车辆外部照明系统。"
1763,　　此外，FF 91还配备有设计灵感来自NASA研究的“零重力座椅”以及智能隐私玻璃、高清中控触屏、模块化智能后视系统等众多前沿科技，并拥有极致体验的后座娱乐系统。
1764,　　可以说，FF 91的发布，宣告了一种全新的智能交通工具的诞生，它是汽车产业诞生发展百年之后出现的“新物种”，它跳出之前汽车行业轿车、跑车、MPV、SUV等功能分类的条框，拥有超越超级跑车的动力性能，优于中小型轿车的操控性，超越豪华MPV的舒适性，媲美豪华SUV的通过性；更重要的，它将最新的电动技术、互联网技术、人工智能AI技术等注入汽车，创造出一种全新的交通工具和智能终端，从此，一个新的互联网生态汽车时代开始了。
1765,　　FF战略伙伴乐视创始人、董事长兼CEO贾跃亭也在发布会上亮相。他表示，FF打破了互联网，AI， IT，汽车，电动系统五大技术领域的边界，实现破界创新，生态化反，重构了汽车的核心价值。
1766,"　　“3年前，来自于互联网，IT, 电动系统，汽车领域的几个业界顶尖大牛，怀着蓝天梦，和重构百年汽车产业的梦想，创建了FF。我们的使命不仅仅是造一辆电动车，而是打造全球共享的互联网交通生态系统。今天，FF向全世界展示了第一台颠覆性的量产车。这是汽车产业由汽油时代、电动时代，到互联网生态电动时代的一个里程碑。”贾跃亭说。"
1767,　　在FF 91全球首发仪式现场，FF研发与工程副总裁Nick Sampson宣布FF 91预约及预订正式开启，首批FF 91将于2018年向车主交付。
1768,　　此次FF 91全球首发，除了美国拉斯维加斯主会场之外，还在中国北京设置了第二直播现场，与美国现场连线互动，邀请专家和国内百名媒体记者见证这一历史时刻，讨论FF 91正在开启的汽车业变革和人类出行未来。
1769,　　据悉，CES期间，FF 91将在拉斯维加斯会议中心北厅展厅＃5616展台展出。
1770,"　　,中新网,1月4日电 当下，SUV成为了内地车市产销增长的主要动力，有的品牌依靠SUV品类成功突围，有的品牌却依靠SUV顺利登上销量排行榜。仔细盘点，在内地市场没有SUV车型的汽车品牌还真不多。不得不承认的是，SUV的销量确实在增长。"
1771,　　一直以进口车型雄踞市场的法国雷诺集团便是个活生生的例子。这些年来，雷诺轿车系列在内地市场基本毫无起色，仅靠着科雷傲一款SUV生存下来。不难让人肯定的是雷诺提前“号准了市场的脉”。满怀着对未来的憧憬，雷诺也进行了本土化，与东风汽车合资，并且推出了2款国产SUV车型。今天，笔者特穆就带大家看其中一款——东风雷诺科雷嘉。
1772,　　试驾的车型为东风雷诺科雷嘉至尊版，即最高配置版本，据厂家参数，东风雷诺科雷嘉与日产逍客同出一个平台。科雷嘉整体车身尺寸与逍客差不不大，在外观设计方面为各自品牌的脸谱，但是在动力和传动方面两者基本保持着较高的相似度。
1773,　　东风雷诺科雷嘉的外观线条浑厚一些，更多一些法兰西浪漫主义的色彩，独具雷诺家族系列车型的特点，一定能打动一部分颜值控的消费者群体。车身外观整体性强，没多有突兀的元素，前后左右均有一贯性的线条一笔带过。四个车轮上的轮眉饱满突出，犹如肌肉男的四块“肌腱”，正面看整个车身更稳健一些。
1774,　　至尊版的科雷嘉采用了LED前大灯系统，并采用了日间行车灯；另外，前面雾灯可以随着方向盘转动点亮，起到了光亮随车转动的作用。
1775,"　　,中新网,天津1月4日电 (记者 张道正 通讯员 朱文庆)为全力推进天津市新能源公交车发展、打造低碳公交服务体系，按照天津市委市政府建设美丽天津、倡导绿色出行的民心工程要求，2017年1月4日，天津公交新能源基地充电站正式投入使用。同日，500部纯电动公交车正式投入运行。"
1776,　　天津公交新能源基地位于北辰区小淀镇汀江东路西侧、规划丹江道以北，规划总用地面积126646㎡，总建筑面积36517㎡。基地内设有新能源车辆充电站、新能源车辆维修保养基地、综合楼和公交站，于2016年9月整体竣工。目前，新能源车辆维修保养基地、综合楼和公交站已先期完工并投入使用。
1777,　　据了解，公交新能源基地内设的新能源车辆维修保养基地主要担负着天津公交新能源公交车的保养作业，设有6条作业沟，16个作业工位，并配有24台液压举升机、自动化加油机、零部件自动清洗设备以及针对新能源公交车的专业除尘设备等一流的生产设施，可承担新能源公交车5大类130多个小项的日常保养维修以及LNG燃气公交车、普通柴油内燃机公交车的临修，年保养生产能力可达2500标台。
1778,"　　新建成的新能源基地充电站，共有充电桩80个，单一充电桩输出功率达80kw/h,最高可提供448车次/日的充电运营能力，满足120部直冲式纯电动公交车的充电需求。该站充电设备采用国际先进的嵌入式软件技术，电压、电流、电量监控更为精确，人机交互界面更易于操作，加之配套完善的充电后台数据监控系统，有效提高了充电站运维的工作效率和安全性。"
1779,　　据公交集团相关负责人介绍，天津市作为首批新能源公交车推广试点城市，于2012年启动了纯电动公交车示范运行工程，截至目前已建成津门湖、海泰共两座换电站，以及公交四公司、浯水道、云锦世家等31处充电站，拥有充电桩559个。随着充换电站等基础配套设施的逐步完善，天津公交分批购置了3220部节能和新能源及清洁能源公交车，并在市区公交骨干线路中进行示范运行，其中的1346部纯电动公交车累计运行总里程已达4000万公里，搭载乘客1.4亿人次，替代燃油1400多万升，可减少城市碳排放约3.8万吨。运行车辆整体性能基本稳定，其零排放、低噪音、操作轻便等优势，得到了广大乘客及驾驶员的广泛好评。
1780,　　与此同时，天津市公交集团还积极参与我市新能源汽车产业的发展，在2014年与深圳比亚迪股份有限公司合资组建了我市第一个新能源大客车生产基地——天津比亚迪汽车有限公司，投产至今已组装生产纯电动公交车1163辆。
1781,　　此次投入运营的500部纯电动公交车就是天津比亚迪生产的“金马牌”直充式纯电动公交车。这款纯电动公交车采用夜晚波谷充电、白天运行的模式，有效降低运营电耗成本。充满电后，公交工况开空调时可行驶200公里以上，基本上满足了每天续航里程的需要，目前已全部投入市区635、906、850等20余条公交线路运营。伴随公交新能源技术的深入推进，天津公交将展现绿色、环保的新形象助力美丽天津建设，迎接第十三届全运会的到来。(完)
1782,"　　,中新网,北京1月4日电(记者 李金磊)1月4日，2017中国(金华)新能源汽车展览会暨新能源汽车高峰论坛新闻发布会在北京召开，宣布展会将于3月17日—19日在浙江金华市举行。"
1783,　　据悉，此次展会以“绿色、创新、共赢”为主题，将通过汽车展览、高峰论坛、新品发布等形式，为汽车整车企业、零部件企业、流通企业搭建交流合作平台，探讨国内外新能源汽车发展趋势，分享发展模式，促进新能源汽车产业加快发展，力争办成全国一流的新能源汽车行业展览交流盛会。
1784,　　展会期间，还将举行高峰论坛，届时将邀请整车制造商、关键零部件供应商、汽车经销商、核心技术提供商及主管部门、业内人士一起对后补贴时代新能源汽车面临的挑战、机遇与对策，中小城市新能源汽车发展路径等方面进行深入探讨与交流。
1785,　　同期海将举办新能源汽车推广应用部分城市市长圆桌会、新能源汽车新品发布会、电机电池电控技术研讨会等活动。预计将有来自全球新能源汽车产业的几百位行业专家及企业代表参与论坛。
1786,　　在发布会上，金华市副市长傅利常介绍了近几年来金华新能源汽车产业发展及应用推广情况。
1787,　　据介绍，金华是中国汽车摩托车产业基地和国家新能源汽车推广应用示范城市。近几年来，金华形成了以青年、众泰、康迪、绿源、金大等企业为代表的新能源整车制造和电机、电控、充电设备等关键零部件制造的较为完备的产业体系，产品门类齐全，基础配套完备，产业基础良好。
1788,　　统计显示，截至目前，金华市新能源汽车产业已连续20个月保持15%以上增长，连续16个月保持20%以上增长。2016年，金华全市生产新能源汽车47900辆，众泰集团新能源汽车销量列全国第一位，新能源汽车产业呈现出快速发展的良好态势。
1789,　　作为金华新能源汽车展主办方之一，中国汽车流通协会秘书长肖政三等负责人在讲话中表示，将整合行业资源，全力支持金华举办新能源汽车展。
1790,　　据悉，2017中国(金华)新能源汽车展览会暨新能源汽车高峰论坛由中国电动汽车百人会、中国汽车流通协会、金华市人民政府等主办，中国汽车流通协会新能源汽车分会、浙江省汽车工业技术创新协会、浙江省新能源汽车产业联盟、浙江省汽车及零部件产业科技创新服务平台等机构承办，中国汽车工业协会、第一电动网、浙江省发展和改革委员会、浙江省经济和信息化委员会、浙江省汽车工业协会等单位协办。(完)
1791,"　　,中新社,北京1月4日电 (记者 闫晓虹)最新调查显示，当前中国汽车经销商库存预警指数位于警戒线以下。"
1792,　　中国汽车流通协会4日发布的“中国汽车经销商库存预警指数调查”显示，2016年12月其库存预警指数为42.9%，比上月下降7个百分点，位于警戒线以下。
1793,　　从构成该预警指数的5个分指数看：库存指数和从业人员指数环比下降；市场需求指数、平均日销量指数、经营状况指数环比上升；其中，市场需求指数和平均日销量指数环比大幅上升。
1794,　　2016年12月是年底旺季，也是各厂商年底冲量的关键月份，加之购置税减半政策即将退坡执行，中国汽车市场需求大幅度上涨，车市呈现翘尾现象。市场需求的变化使小排量车型热销，部分大排量车型滞销形成库存，不过经销商总体库存压力不大，库存水平位于警戒线以下。
1795,　　中国汽车流通协会建议，经销商仍要理性预估实际市场需求，合理控制库存水平，以防库存压力过大，导致经营风险。
1796,　　该库存预警指数以50%作为荣衰线，50%以下均处于合理范围。库存预警指数越高，反应出市场的需求越低，库存压力越大，经营压力和风险越大。(完)
1797,　　近日，汽车之家披露11.11疯狂购车节最终销售数据，截止2016年12月31日，疯狂购车节最终成交99801辆，同比增长182%，交易总额达152.11亿元。
1798,　　这是汽车之家连续第四年公布11.11实际销售成绩单。从2013年至今，汽车之家是唯一一家实时公布订单总量、交易总额的汽车电商平台，也是唯一一家在11.11活动结束后，对订单进行跟踪统计、并披露实际成交数据的电商公司。
1799,　　实际交易量同比大增，电商平台赢来发展新契机
1800,　　根据汽车之家此前公布的数据，截至2016年11月13日24点，汽车之家11.11疯狂购车节订单总量达145434辆，同比增长近170%。无论是订单总量，还是增长速度，汽车之家在汽车电商行业中都位居第一。
1801,　　从最新披露的实际成交数字来看，汽车之家11.11疯狂购车节共斩获99801辆汽车的成交，同比2015年的35379辆，大幅增长182%。
1802,　　值得一提的是，2016年11.11疯狂购车节不仅可以通过线上下单，为了满足在线上没有及时订到爱车的消费者，汽车之家在11月19日-12月4日期间，连续3个周末举办11.11疯狂购车节返场线下专属车展，落地近百个城市，进一步帮消费者买到爱车。线下车展共有52240人来到现场，实际成交25632辆，近50%的到场消费者都买到了爱车。
1803,　　对于中国乘用车市场的整体表现而言，汽车之家的成绩单也颇有亮点。根据中国汽车工业协会公布的数据，2016年11月，乘用车销售259万辆，同比增长10.5%。汽车之家疯狂购车节实际成交量占据11月全国乘用车销量近4%。此外，疯狂购车节实际成交量的同比增幅，也远高于全国乘用车市场的增幅。汽车电商，在中国乘用车市场正在扮演更为重要的角色。
1804,　　4+1战略助推，汽车生态圈全面加速
1805,　　2016年10月，汽车之家CEO陆敏在11.11疯狂购车节媒体沟通会上，首次提出汽车之家“4+1”发展战略，即建设“车媒体、车电商、车金融、车生活”4个圈，从“基于内容的垂直领域公司”转型升级为“基于数据技术的‘汽车’公司“1个核心，进一步推动汽车之家生态圈的发展。
1806,　　2016年12月，汽车之家独立的金融频道上线，整合各方面金融资源、搭建金融平台，汽车之家金融业务进入加速发展通道。在2016年11月的广州车展上，汽车之家AR看车技术也首次亮相。汽车之家AR看车服务将在近期正式上线，为消费者提供全新的看车、购车体验，这在业内尚属首例。
1807,　　数据、技术的优势积累非一朝一夕，汽车之家经历了十一年的发展，已成为国内最大的汽车互联网生态平台。汽车之家在中国新车论坛市场份额中占据了94%的绝对份额，每年为经销商贡献的销售线索在整体销量中的占比高达33%，并已经发展成为国内领先的互联网汽车交易平台。
1808,　　这些数据、技术形成了汽车之家在互联网智能时代的关键优势，全面加速汽车之家生态圈的发展。“汽车之家将持续、深入地深耕汽车互联网产业，助力汽车产业的升级转型，构建汽车生态圈，为消费者、企业客户实现价值最大化。”陆敏表示。
1809,"　　,中新网,1月3日电 据北京现代公布最新数据显示，北京现代12月以同比14.05%，环比14.96%的双向正增长，实现销量14.6万辆，创下单月历史最好成绩，也由此为北京现代全年销售画上了漂亮的句号。"
1810,　　通过全线产品发力，2016年北京现代全年销量增幅7.5%，实现销售114万，超额完成目标、完美收官。这也是北京现代继2013年之后，连续第4年年销过百万辆，并实现累计销量800万辆。同时，北京现代年度D+S占比也首次超过50%，实现50.3%，SUV占比到34%。
1811,　　北京现代在销量上大放异彩的同时，还凭借强大、立体、富有竞争力的体系力，奏响从后百万时代向千万时代迈进的胜利凯歌。
1812,　　整体销量的增长，离不开“爆款”车型的有力拉动，其中北京现代的新品战略功不可没。
1813,　　领动自3月上市以来，始终保持月销过万辆，更是在12月首次迈入2万辆俱乐部，助力领动全年实现销量远超12万；10月下旬上市的悦纳，上市仅两个多月，销量就突破4万辆。两款新车的热销证明北京现代新车战略大获成功。
1814,　　除了销量爆款车型外，技术爆款车型同样值得一提。作为北京现代首款量产新能源车，第九代索纳塔混动版通过添加新的技术引擎，进一步提升第九代索纳塔的品牌影响力。
1815,　　统计下来，2016年北京现代共有5款车月均销过万辆，占12款主销车型近一半。
1816,　　SUV家族更是对北京现代整体销量起着举足轻重的作用。数据显示，北京现代SUV家族全年共计销售38.5万辆，较去年同比增长30%，再次夺取合资车企SUV销量宝座。
1817,"　　在火热的SUV市场，北京现代早于其他主流车企进行了深度布局。截至目前，北京现代从小型SUV、中型SUV到全尺寸SUV,分别导入了ix25、ix35、全新途胜、全新胜达四款SUV，是SUV布局最为合理的主流合资车企。"
1818,　　T家族对北京现代整体销量的贡献同样不容忽视。2016年，北京现代的T动力车型总计销量已超过26.1万辆，逐渐成为北京现代销量的主力军。
1819,　　在过去的一年，北京现代紧扣市场脉搏，在T动力领域连续打出重拳。目前，北京现代已经拥有从全新胜达到领动共6款T动力车型，涵盖了C、D、S全部级别，排量囊括1.4T、1.6T、2.0T三大主流动力，覆盖车型已高达60%。
1820,　　如果说，整体销量增长有赖于爆款车型、SUV家族、T家族共同推动的话，那么由技术、营销、渠道等构筑的综合体系力则为北京现代销量的增长，提供了坚实的后盾与强有力的支撑。
1821,　　在技术领域，从搭载Carlife&Carplay智能手机互联系统、以及集成于手环的智能钥匙等，到T动力技术的普及化，再到以索九混动为代表所展示的新能源技术领域，北京现代逐渐完成从“性价比”到“性能比”的跨越，并实现产品和品牌的再升级。
1822,"　　,天津北方网讯：,眼下距离2017年春节仅有不到一个月时间，跨城拼车回家过年成为一部分返乡客的选择。借助互联网拼车平台跨城拼车回家过年，不但省去了抢购火车票的烦恼，还比乘坐火车便宜实惠。但是业内专家提醒：跨城拼车回家过年一定要关注互联网平台提供的相关保险，特别要关注赔偿细则，以免人身财产安全遭到损害。"
1823,　　一家大型互联网租车平台客服介绍，每年都有一些人需拼车回家过年，但过去是他们在网上随意找，费用自己商定，常常因此发生纠纷。而现在互联网拼车平台则提供了比较规范的拼车服务，只要车主和拼车乘客在平台上注册登记预约，都可以找到自己心仪的车主和乘客。为争抢拼车车主和乘客，多家互联网拼车平台都采取了优惠促销手段，有的平台推出了8折拼车费用优惠；有的则是7折车费优惠；还有一家大型拼车平台规定，只要是3人以上拼座，最高可以享受车费4折优惠。而有的平台则提供拼车跨城行驶中加油、维修、餐饮等一条龙服务，都是车主和乘客急需的配套服务，也很有吸引力。
1824,　　有业内专家指出，虽然一些拼车平台跟保险公司有合作，但是有些保险公司却对因交通事故而发生的人身财产伤害赔偿比较苛刻，有的甚至根本不赔偿，其核心问题就是赔偿细则不清楚。专家建议，跨城拼车一定要选择大型拼车平台，要特别关注保险赔偿细则。另外，对于车主的驾龄、车况、驾驶记录等应该提前了解，选择一个靠谱的车主最为重要。(北方网编辑曲璐琳)
1825,"　　,中新网,1月4日电 3日消息，滴滴出行今日发布《2016年度企业公民报告》(以下简称《报告》)，通过经济、社会、环境等核心议题，反映了滴滴实现共享价值的成果。《报告》显示，滴滴平台每天直接为207.2万司机提供人均超过160元的收入。"
1826,　　2016年全年，滴滴出行平台为全社会创造了1750.9万灵活就业和收入机会，其中238.4万来自去产能行业，占14%，87.5万为退伍或转业军人，占5%。每天，滴滴平台直接为207.2万司机提供了人均超过160元的收入。
1827,　　在国家经济结构和产业结构调整的关键期，滴滴实际起到了就业蓄水池的作用，降低了结构性失业风险，为社会稳定做出了积极贡献。仅2016年一年，滴滴就为去产能行业，提供了238.4万的灵活就业和收入机会。
1828,　　近两年来，在调结构、去产能的大背景下，钢铁行业处于下行状态，大型钢铁企业武钢集团的职工，面临着裁员的阵痛和转型，数万人将转岗分流。1988年进入武钢的周清华，在武钢干了20多年后离职创业成立租赁公司，成为武汉第一家与滴滴合作的租赁公司，成功吸纳了数量众多的武钢流转工人成为滴滴司机。
1829,　　事实上，滴滴已积极采取就业帮扶行动。滴滴成立了专项小组、准备专项资金，根据各地实际情况，积极与人社部门、相关企业探索合作模式，并制定了“移动出行行业去产能帮扶计划”，其中包括设立专项资金支持，探索综合帮扶措施等具体内容。滴滴将投入3000万专项资金，累计可惠及1万人。
1830,　　《报告》披露，滴滴对超过1万名滴滴专快车司机进行了调研，发现司机群体在满足家庭基本收入的基础上改善了家庭生活：在加入滴滴之后，平台司机的个人月收入平均增加了30%，并在工作中找到了更多成就感和满足感。91.4%的全职司机相信自己努力工作能为家人带来更好的生活，97.4%的人相信未来收入还将继续增长，93%的人表示可以灵活安排时间，兼顾工作和生活。
1831,　　同时，为了让平台上的司机群体不仅获得稳定的生活保障，更要让他们感觉体面、有尊严，滴滴将2016年定为“司机生态年”，从主要关注乘客出行，到关注司机的服务和体验，考虑司乘双方关系。成立了专门的司机关系团队，专注于司机生态建设，负责司机体验的提升。
1832,　　《报告》同时显示，2016年，滴滴顺风车和专快车(含拼车)全年直接和间接减少了144.3万吨二氧化碳排放，北京、成都和杭州效果最显著。此外，滴滴平台72.2%的用户可能会改变购车或换车计划，其中25.7%的用户决策会受到强烈影响。
1833,　　滴滴致力于以分享经济实践响应中国互联网创新战略，与不同社群及行业伙伴协作互补；运用大数据驱动的深度学习技术，解决中国出行、环保、就业等所面临的问题；提升用户体验，创造社会价值，建设开放、高效、可持续的移动出行新业态。2016年以来，滴滴登上《财富》杂志“改变世界的50强”榜单，获《MIT科技评论》膺选为全球五十大创新企业之一，滴滴总裁柳青被知名科技媒体Fast Company评选为全球创新百人之一，入选The Wired 的全球百人榜。
1834,　　据外媒报道，2016年日本新车销量或时隔5年跌破500万辆，原因包括汽车价格上涨和平均车龄增加等。
1835,　　据《日本经济新闻》报道，2016年日本国内的新车销量将较2015年同比减少2%，止步于497万辆。这将是时隔5年首次跌破500万辆。凭借低燃耗和合理的价格受到青睐的轻型车表现低迷，销量同比减少9%，三菱汽车等的燃效数据造假问题也产生了影响。如果日本国内新车市场继续缩小，影响还将扩大到日本国内的汽车生产上。
1836,　　报道称，2016年的日本国内新车市场与达到顶峰的1990年的777万辆相比，规模缩小至三分之二，减幅相当于日本最大汽车厂商丰田年销量(158万辆)的约1.8倍。安全装备的扩充等因素导致汽车的平均价格上涨，采取观望态度的消费者明显增多，平均车龄增加也是销量降低的原因之一。
1837,　　数据显示，2016年，日本排量在660cc以上的“非轻型车”销量保持坚挺，销量增长3%，达到324万辆，但排量在660cc以下的轻型车则表现低迷，销量减少9%，仅为172万辆。
1838,　　2016年4月开始，三菱汽车和铃木汽车先后曝出轻型车燃效数据造假丑闻，部分轻型车停产停售。这也对日本的轻型车销售造成了一定影响。日本政府之前通过税收减免政策鼓励发展轻型车等环境友好型汽车，燃油效率是这项激励政策的重要指标。
1839,　　近期数据也显示出一些日本汽车市场销量复苏的迹象。日本十几年来深受通缩局面的困扰，目前通胀水平仍然极低，消费者储蓄的意愿大于支出，2016年11月，日本消费者支出已经连续9个月下滑。
1840,　　不过，日本汽车出口目前在一些市场遭遇下滑局面，如中东和欧盟等市场。有数据显示，2016年前11个月，丰田的汽车销量同比上涨0.1%至921.9万辆，德国大众汽车同期销量同比上涨3.1%至937.9万辆，这意味着丰田2016年可能失去全球销量最大厂商的桂冠。数据还显示，丰田汽车2016年11月份销量同比增长2.2%至87.3万辆，但出口下滑2.4%至15.9万辆。(王婧)
1841,"　　,中新网,1月9日电 日前，江淮瑞风A60在北京正式发布，售价13.95万-17.95万。瑞风A60上市以自主研发的“白金传动系”和高质感JBL音响缔造的音乐空间等亮点进一步展示了江淮瑞风A60配置。"
1842,　　作为江淮全新旗舰车型，瑞风A60轴距长2915mm，拥有自主研发“白金传动系”高效能动力系统，搭载融合缸内直喷、涡轮增压、可变气门正时等技术的TGDI直喷增压发动机，配合传动效率高达95%的6DCT湿式双离合变速箱，最大功率可达128kW，在1500转的低转速中就能输出峰值扭矩251N·m，动力性能和燃油经济性俱佳。
1843,　　瑞风A60得益于NVH静音工程设计，能把30-80km/h速度下的噪音控制在54分贝以下，使车内达到一流的静音标准。不仅如此，瑞风A60还配备了专业级高保真JBL音响，以13颗高品质扬声器打造了舒适的私人音乐厅，在车内营造了极具现场感的视听震撼。
1844,　　一直以来，江淮始终坚持“敬客经营”价值理念并在全国各地举行“瑞风SUV体验营”等一系列产品体验活动。瑞风A60上市，江淮同样以一场大规模的路演活动，为北京地区消费者带来最直观、最真实的品质感受。
1845,　　值得一提的是，瑞风A60外观设计及内饰细节提升有了较大提升。而且江淮很有心思地把产品进行拆解展示，这种直接的展现方式让我印象十分深刻，可以看得出江淮在产品技术上的硬实力。”未来，江淮还将在全国多个地方举办多场江淮瑞风A60的路演活动，以期让消费者直观感受江淮品牌如何用技术磨砺产品，用技术打造高端体验，用技术拉升品牌升级。
1846,　　随着瑞风A60路演逐步开展，更多消费者将认识到瑞风A60“中高级技术座驾”的技术魅力。瑞风A60作为代表江淮品牌前沿技术和高端品质，让驾乘体验的每一个细节都达到了一个新的高度，不仅最大化了消费者的价值体验，更表明江淮进入了产品与品牌同步快速升级上行的新阶段。
1847,　　#河南高速路况#1月3日6:30，因雾，实施交通管制的路段有：京港澳高速豫冀界-正阳站，大广高速豫冀界--秣陵站；连霍高速孟津--豫皖界；南林高速太行大峡谷--南乐东站；长济高速济源东--滑县牛屯站；晋新高速焦作西-豫晋界；林桐高速焦作西南--温县站；郑西高速郑州侯寨站--禹州南；宁洛高速豫皖界-舞阳站；兰南高速二郎庙--襄城站；永登高速苌庄--鹿邑站、永城南收费站；德商高速范县东站；郑州西南绕城、商南高速、机场高速、日兰高速、郑民高速、兰焦高速、济祁高速、郑云高速、商登高速、台辉高速、济广高速、机西高速均全线管制。全省高速公路禁止七座(含七座)以上客车通行。目前，省内其他高速公路正常通行。
1848,"　　,中新社,上海1月3日电 (郑莹莹)上海市经信委3日发布消息称，上海新能源汽车推广突破10万辆，产值突破百亿元(人民币，下同)，跃居成为全球新能源汽车拥有量最大的城市，数量规模与欧洲新能源汽车拔尖的国家——挪威相当。"
1849,　　据上海市车辆登记部门提供的最新数据，上海2016年全年共计上牌新能源汽车45060辆；2013年至2016年累计推广新能源汽车10.2726万辆，成为中国新能源汽车推广应用总量率先突破10万辆的城市。
1850,　　上海新能源汽车的规模化推广，也推动了相关产业链的快速发展。据上海市统计局最新数据，2016年1至11月，上海市新能源汽车实现产值约115亿元，首次历史性突破100亿元，同比增长29.5%，为上海工业增长“添砖加瓦”。
1851,　　上海汽车保有量持续增长，“最贵铁皮”上海车牌一块难求，新能源汽车的快速增长，有赖于其免费上牌、多级购车补贴等利好因素，也因绿色出行理念更为市民所接纳。
